사건,시간대,위치,대화 묶음,id,startObject,npcFrom,desc,반복성,대사 조건,status,parent,rewards,단서 루트 해금,발생 여부,새로운 이벤트
53,71,111,2000,0,1100,1100,오늘 소식지 봤어요? 글쎄 총장님이 살해당했대요,4,,0,1,,,,
53,71,111,2000,1,1100,1101,어머머 총장님이요? 아이고 어쩌다가 그렇게 되셨대…,4,,0,2,,,,
53,71,111,2000,2,1100,1100,그거 때문에 지금 다들 난리라니까! 아까 시장에 갔더니 다 이 얘기로 들썩이지 뭐에요!,4,,0,2,,,,
53,71,111,2001,0,1100,1100,에휴…이제 어쩐다 어째. 어? 수사관님 여긴 어쩐일이세요?,2,2000,0,1,우울한 남자,,,
53,71,111,2001,1,1100,1101,수사관님 아니세요? 그런데 여긴 어쩐일로 오셨어요?,2,,0,2,,,,
53,71,111,2001,2,1100,1000,안녕하세요. 지금 수사중이라서요. 혹시 요즘에 이상한 일이나 수상한 사람을 목격한 적이 있나요?,2,,0,3,,,,
53,71,111,2001,3,1100,1100,아…오늘 그 사건 때문인가요? 이상한 일은 없는데 수상한 사람이라… 아! 소문을 들은건데 요즘 이곳 저곳에서 우울해 보이는 남자가 자주 목격된데요.,2,,0,4,,,,
53,71,111,2001,4,1100,1000,우울해 보이는 남자요?,2,,0,5,,,,
53,71,111,2001,5,1100,1100,생긴게 우중충하고 얼굴에 늘 그림자가 져있다네요. 보기만 해도 주변 기분나쁘다는 남자가 신출귀몰한다는 소문이에요.,2,,0,6,,,,
53,71,111,2001,6,1100,1101,나도 그 소문 들었어요. 근데 그 사람 이 근처에 산다는거 같던데…,2,,0,6,,,,
53,71$72,111,2002,0,1101,1101,그나저나 사제님이 시내에 오실 때 한번가서 뵈야하는데,2,,0,1,,,,200
53,71$72,111,2002,1,1101,1100,사제님? 사제님은 갑자기 왜요?,2,,0,2,,,,
53,71$72,111,2002,2,1101,1101,"어머 혹시 몰랐어요? 지금 신전에서 사제님들이 와가지고 아픈사람들 도와주고 구빈원에서 아이들한테 먹을 것도 나눠주고 있으시잖아요.
저번에 우리집 아이가 아팠을 때$ 사제님이 도와주셨거든요. 가서 감사의 인사라도 드릴려구요.",2,,0,3,,,,
53,71$72,111,2002,3,1101,1100,그 비싼 진료를 무료로 해줬다구요? 어머…참으로 고마우신 분들이시네요. 게다가 불쌍한 아이들까지 도와주시고… 마치 륑 자작님이 생각나네요,2,,0,3,,,,
53,71$72$73$74,111,2003,0,1100,1100,오늘은 채소가 싸대요.,3,,0,1,,,,
53,71$72$73$74,111,2003,1,1100,1101,어머머 웬일이야 어제 잔뜩 사놨는데. 조금만 기다릴걸,3,,0,2,,,,
53,71$72$73$74,111,2003,2,1100,1100,내일은 밀가루가 싸다니까 기다렸다가 사요. ,3,,0,2,,,,
53,71$72$73$74,113,2004,0,1104,1104,산책하기 좋은 날씨네요.,3,,0,0,,,,
53,71$72$73$74,113,2005,0,1104,1104,아이들이 참 부러워요. 나도 저렇게 아무런 걱정 없이 놀던 시절이 있었는데.,3,,0,0,,,,
53,71$72$73$74,113,2006,0,1104,1104,"이렇게 여유로운게 좋은 거겠죠. 
바쁘게 사는 것도 좋지만 인생에서 한번쯤은 아무생각 안하고 시간을 보낼 수 있을 정도로 한가로운 날도 필요하다 생각해요.",3,,0,1,,,,
53,71$72$73$74,113,2006,1,1104,1000,…저는 잘 모르겠어요.,3,,0,1,,,,
53,71$72$73$74,113,2007,0,1103,1103,짠! 오늘 저녁은 모래빵이에요. 따뜻할 때 드세요. ,3,,0,1,,,,
53,71$72$73$74,113,2007,1,1103,1102,마..맛있겠다. 잘 먹을게요.,3,,0,2,,,,
53,71$72$73$74,113,2007,2,1103,1000,애들아..!그건 먹으면 안돼!,3,,0,3,,,,
53,71$72$73$74,113,2007,3,1103,1103,응? 언니도 참. 진짜로 안먹어요. 이건 소꿉놀이니까요!,3,,0,4,,,,
53,71$72$73$74,113,2007,4,1103,1102,어? 안먹어도 되는거였어? 다행이다…,3,,0,4,,,,
53,71$72$73$74,113,2008,0,1102,1102,우리 형이 알려준건데$ 이런 나뭇잎에 입을 대고 세게 불면 피리 소리가 난대! 후우우우!,3,,0,1,,,,
53,71$72$73$74,113,2008,1,1102,1103,응? 아무소리도 안나는데…,3,,0,2,,,,
53,71$72$73$74,113,2008,2,1102,1102,후우우우우우우!,3,,0,3,,,,
53,71$72$73$74,113,2008,3,1102,1103,후우우우!,3,,0,3,,,,
53,71,113,2009,0,1105,1000,혹시 최근들어 수상한 사람이나 이상한 일을 목격한 적이 있으신가요?,2,,0,1,정보상의 존재,,,207
53,71,113,2009,1,1105,1105,"정보가 필요하신 건가요? 그러고 보니 어디 구석진 곳에 정보상이 있다는 말을 들은 적이 있어요.
시장에 한 구석진 골목으로 들어가 보세요. 아 근데 너무 기대는 하지마세요. 저도 지나가면서 들은거거든요.",2,,0,1,,,,
53,71,113,2010,0,1105,1105,"오늘 소식지에서 또 연쇄살인이 발생했다는데… 예전에 들은건데 저쪽 집에 한번 가보세요. 이 연쇄 살인의 피해자가 살던 집이라고 들었거든요.
집이 안팔린다고 부동산 사장님이 한탄하시더라구요.",3,,0,0,연쇄살인의 두번째 피해자,,,
53,72$73$74,113,2011,0,1105,1105,어머 메르테. 오늘은 어쩐 일이에요?,2,22,0,1,,,,
53,72$73$74,113,2011,1,1105,1000,오늘도 늘 똑같죠. 단서를 찾으려고 계속 이곳 저곳 돌아다니고 있어요.,2,,0,2,,,,
53,72$73$74,113,2011,2,1105,1105,"곤란해 보이네요. 좋아요! 저번에 곤란해 하는 저를 도와주셨으니까$ 저도 도움을 하나 드릴게요.
나중에 (정보상 바텐더)란 사람을 만나게 되면 이렇게 말해보세요. '오늘은 부엉이가 날아다니기 좋은 날씨네요'라고 .",2,,0,3,,,,
53,72$73$74,113,2011,3,1105,1000,하하 뭔가 암호같네요. 진짜로 그분을 만나게 된다면 한번 말해볼게요. 그럼 제가 마치 첩자가 된 기분일거 같아요.,2,,0,3,,,,
53,이벤트 충족,113,2012,0,1101,1101,오늘 도심에 갔다가 사제님이 계시더라구요! 그덕에 감사의 인사를 드렸어요.,2,2002,0,1,,,,
53,이벤트 충족,113,2012,1,1101,1100,사제님이 도심에 나오셨나요? 어머 저도 한번 뵙고 싶네요,2,,0,2,,,,
53,이벤트 충족,113,2012,2,1101,1101,지금도 계시지 않을까요? 그리고 지금 도심예 계신 사제님은 그분이세요,2,,0,3,,,,
53,이벤트 충족,113,2012,3,1101,1100,그분이요?,2,,0,4,,,,
53,이벤트 충족,113,2012,4,1101,1101,체스미터 대사제님이요! 곧 교황이 되실거라는 소문이 있던데,2,,0,5,,,,
53,이벤트 충족,113,2012,5,1101,1100,어머 그 분이 지금 나오신거에요? 어머머 예전에는 뵙기 힘들었는데$ 요즘엔 자주 도심에 오시네요.,2,,0,6,,,,
53,이벤트 충족,113,2012,6,1101,1101,그러게요? 요즘 교황청에 무슨 일이 있는건가.,2,,0,6,,,,
53,71,121,2013,0,1106,1106,그 소식 들었어요? 또 살인 사건이 일어났다는데. 이렇게 동네가 흉흉해서야 원.,3,,0,0,,,,
53,71$72$73$74,121,2014,0,1106,1106,집이 팔려야 이사를 갈텐데$ 아무도 집을 사려고 하질 않네…이게 다 옆집 때문이 분명해.,3,,0,0,,,,
53,71$72$73$74,121,2015,0,1106,1106,혹시$ 이사 계획없나요? '이 집'이 채광도 좋고 경치도 아주 끝내주는데…,3,,0,0,,,,
53,71$72$73$74,121,2016,0,1106,1106,이 동네는 총장님이 가신 후로 영 불안해. 빨리 이곳을 뜨고싶어…,3,,0,0,,,,
53,이벤트충족,121,2017,0,1010,1000,혹시 이 근처에서 수상한 사람을 목격한 적 있으신가요?,2,2019,0,1,수상한 증언,,1,201
53,이벤트충족,121,2017,1,1010,1010,...있지…이 집이었어…,2,,0,2,,,,
53,이벤트충족,121,2017,2,1010,1000,이 집 안 말인가요?,2,,0,3,,,,
53,이벤트충족,121,2017,3,1010,1010,그래…난 알아. 그 여자한테 아이가 있었거든…난 이만 가봐야겠어.,2,,0,3,,,,
53,71,123,2018,0,1107,1107,총장님이 살해당하셨대!,4,,0,1,,,,
53,71,123,2018,1,1107,1108,말도 안돼! 총장님이 안 계시면 우리 나라는 이제 누가 지켜주신담?,4,,0,2,,,,
53,71,123,2018,2,1107,1107,걱정마$ 마리만큼은 내가 무조건 지킬테니까…,4,,0,3,,,,
53,71,123,2018,3,1107,1108,폴…!,4,,0,3,,,,
53,71,123,2019,0,1107,1107,어휴$ 뭐야 정말!,2,2018,0,1,남자의 정체,,1,202
53,71,123,2019,1,1107,1108,괜찮아 폴? 저런 이상한 사람은 그냥 무시해!,2,,0,2,,,,
53,71,123,2019,2,1107,1000,무슨 일 있으신가요?,2,,0,3,,,,
53,71,123,2019,3,1107,1108,그게$ 방금 이상한 사람이 저희를 치고 갔지 뭐예요. 거의 넘어질 뻔했어요.,2,,0,4,,,,
