사건,시간대,위치,대화 묶음,id,startObject,npcFrom,desc,반복성,대사 조건,status,parent,rewards,단서 루트 해금,발생 여부,새로운 이벤트 발생,줄바꿈
53,71$72$73$74,811,6000,0,1800,1800,도심은 정말 좋은 곳이야. 나도 이런 곳으로 이사 오고 싶어…,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811,6001,0,1800,1800,오늘은 혹시 부동산 값이 떨어지진 않았을까?...어차피 떨어져도 못 사지만. ,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811,6002,0,1800,1000,안녕하세요. 혹시 이 근처에서 수상한 사람이나 사건을 목격하신 적 있나요?,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811,6002,1,1800,1800,예? 도심에서요? 그럴 리가요. 이 곳은 아주 안전하다구요!,3,,0,2,,,,,줄바꿈
53,71$72$73$74,811,6002,2,1800,1000,그렇군요...이 부근에 거주하고 계신 건가요?,3,,0,3,,,,,줄바꿈
53,71$72$73$74,811,6002,3,1800,1800,그런 건 아니지만… ,3,,0,4,,,,,줄바꿈
53,71$72$73$74,811,6002,4,1800,1800,이곳은 귀족 나으리들도 다니시는 곳인걸요? 안전하지 않을 리가요!,3,,0,4,,,,,줄바꿈
53,71$72$73$74,811,6003,0,1800,1800,저… 수사관님. 총장님 저택이 부동산에 나온다는 소문이 들리던데 사실인가요?,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811,6003,1,1800,1000,유언장이 발견되지 않았고 법정 상속인도 없어서요. ,3,,0,2,,,,,줄바꿈
53,71$72$73$74,811,6003,2,1800,1000,지금은 국가 소유이나 수사 이후엔 어떻게 될 지 모르겠네요.,3,,0,3,,,,,줄바꿈
53,71$72$73$74,811,6003,3,1800,1800,역시 그랬군요! 그 저택이 부동산에 나온다니... ,3,,0,4,,,,,줄바꿈
53,71$72$73$74,811,6003,4,1800,1800,누가 사게 될까요? 역시 륑 자작님?,3,,0,5,,,,,줄바꿈
53,71$72$73$74,811,6003,5,1800,1000,흠. 그러게요.,3,,0,5,,,,,줄바꿈
53,71$72$73$74,811,6004,0,1800,1800,으으! 나도 귀족이었다면 얼마나 좋을까…,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811,6005,0,1800,1800,앗…저 집 팔려버렸네. 좋은 집이었는데...,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811,6006,0,1800,1800,저도 언젠가 이곳의 집을 사고 말 거예요…,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811,6007,0,9800,1012,깔끔한 외관의 부동산이다. 외벽은 붉은 색이다.,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i11,6008,0,1801,1801,아유$ 이게 왜 안 닦이지…,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i11,6009,0,1801,1801,흉흉한 사건이 있어서 그런가$ 요새 통 손님이 없구만.,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i11,6010,0,1801,1801,아$ 집보러 오셨어요?,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811i11,6010,1,1801,1000,아뇨$ 저는 수사관입니다. 지금 사건에 대해 조사하고 다니고 있어요.,3,,0,2,,,,,줄바꿈
53,71$72$73$74,811i11,6010,2,1801,1801,에이$ 뭐야.,3,,0,3,,,,,줄바꿈
53,71$72$73$74,811i11,6010,3,1801,1000,혹시 최근에 별다른 일 없었나요?,3,,0,4,,,,,줄바꿈
53,71$72$73$74,811i11,6010,4,1801,1801,없어요 없어. 여기는 맨날 똑같애.,3,,0,4,,,,,줄바꿈
53,73,811i11,6011,0,1801,1801,이 도자기 고급스러워 뵈죠?,3,,0,1,,,,,줄바꿈
53,73,811i11,6011,1,1801,1000,정말 그렇네요. 값이 꽤 나가보여요.,3,,0,2,,,,,줄바꿈
53,73,811i11,6011,2,1801,1801,그럼요! 이게 실은 륑 자작님이 주신 거예요.,3,,0,3,,,,,줄바꿈
53,73,811i11,6011,3,1801,1801,저번에 어떤 부지를 매매하시면서 선물이라고….,3,,0,4,,,,,줄바꿈
53,73,811i11,6011,4,1801,1000,그런가요?,3,,0,5,,,,,줄바꿈
53,73,811i11,6011,5,1801,1801,예$ 그런 외진 땅을 어디에 쓰려하시는진 모르겠지만…,3,,0,6,,,,,줄바꿈
53,73,811i11,6011,6,1801,1801,자작님이 사신 땅인데 분명 잘 되겠죠!,3,,0,7,,,,,줄바꿈
53,73,811i11,6011,7,1801,1000,물론 그렇겠죠.,3,,0,8,,,,,줄바꿈
53,73,811i11,6011,8,1801,1801,참 좋은 분이셔요. 인물도 훤칠하시고!,3,,0,8,,,,,줄바꿈
53,71$72$73$74,811i11,6012,0,1801,1801,하여튼$ 손님같은 손님은 안 오고 저 양반들만 매일 출근하네. 어이구 속 터져!,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i11,6013,0,1801,1000,혹시 수상한 사람을 목격하신 적 있으신가요?,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811i11,6013,1,1801,1801,글쎄$ 여기는 종종 왕실 기사님들이 순찰을 돌아주셔서요.,3,,0,2,,,,,줄바꿈
53,71$72$73$74,811i11,6013,2,1801,1801,그런 놈팽이들이 어디 낯짝들고 나다닐 수가 없죠!,3,,0,3,,,,,줄바꿈
53,71$72$73$74,811i11,6013,3,1801,1000,그렇군요. 감사합니다.,3,,0,3,,,,,줄바꿈
53,71$72$73$74,811i11,6014,0,9804,1012,나무로 된 문이다. 손잡이는 금속으로 되어있다.,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i11,6015,0,9805,1012,왕궁 안을 그려놓은 커다란 지도가 벽에 걸려 있다. ,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i11,5016,0,9806,1012,호리병 모양의 도자기이다. 화려한 무늬가 새겨져 있다. 받침대로 받쳐져 있다.,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i11,6017,0,9807,1012,고급져 보이는 에메랄드 빛 도자기이다. 잘 관리받아 광이 난다. 아래엔 받침대가 있다.,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i12,6018,0,9808,1012,목재 의자에 아이보리 빛 방석이 깔려 있다.,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i12,6019,0,9809,1012,목제 테이블이다. 위에는 서류뭉치와 비워진 여려개의 찻잔이 놓여 있다.,3,,0,0,,,,,줄바꿈
53,71$72$73$74,811i12,6020,0,1802,1802,으흠. 차 맛이 좋아. 여기 차 한잔만 더 줘!,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811i12,6020,1,1802,1802,…큼! 주인이 못 들었나오네. 기다려 보지 뭐.,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811i12,6021,0,1802,1000,안녕하세요. 혹시 최근에 수상한 일 없으셨습니까?,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811i12,6021,1,1802,1802,아$ 수사관이시구만. 나는 대체로 여기에 있어서 사건에 대해선 잘 모르네.,3,,0,2,,,,,줄바꿈
53,71$72$73$74,811i12,6021,2,1802,1802,집세 동향이라면 좀 알지도 모르네만…,3,,0,3,,,,,줄바꿈
53,71$72$73$74,811i12,6021,3,1802,1000,그렇군요. 감사합니다.,3,,0,4,,,,,줄바꿈
53,71$72$73$74,811i12,6021,4,1802,1802,아니야. 혹시 집 살 일 있으면 주인 말고 내게 먼저 물어보게.,3,,0,5,,,,,줄바꿈
53,71$72$73$74,811i12,6021,5,1802,1802,저 치는 늘 바가지를 씌우거든.,3,,0,6,,,,,줄바꿈
53,71$72$73$74,811i12,6021,6,1802,1000,하하. 꼭 그러겠습니다.,3,,0,6,,,,,줄바꿈
53,71$72$73$74,811i12,6022,0,1802,1802,왜 카페를 안가고 부동산에서 이러고 있는지 궁금한가?,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811i12,6022,1,1802,1802,돈이 안 들거든! 하하!... 이제 조만간 돈 받을 기세긴 하지만.,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811i12,6023,0,1802,1802,보다시피 나는 몰락 귀족이야. 있는 거라곤 작위 뿐이지…,3,,0,1,,,,,줄바꿈
53,71$72$73$74,811i12,6023,1,1802,1000,그렇군요…,3,,0,2,,,,,줄바꿈
53,71$72$73$74,811i12,6023,2,1802,1802,수사관은 돈을 많이 버나?,3,,0,3,,,,,줄바꿈
53,71$72$73$74,811i12,6023,3,1802,1802,…뭐$ 어차피 수사관이 될 수도 없지만서도.,3,,0,3,,,,,줄바꿈
53,72,811i12,6024,0,1802,1802,사실 말이네$ 총장님과는 조금 인연이 있었어.,3,,0,1,,,,,줄바꿈
53,72,811i12,6024,1,1802,1000,정말입니까?,3,,0,2,,,,,줄바꿈
53,72,811i12,6024,2,1802,1802,그래. 우리 가문에 관심을 보이셨거든.,3,,0,3,,,,,줄바꿈
53,72,811i12,6024,3,1802,1802,이제 남은 건 작위 뿐이라지만… 그때만큼은 뿌듯했네.,3,,0,4,,,,,줄바꿈
53,72,811i12,6024,4,1802,1000,그러셨군요.,3,,0,5,,,,,줄바꿈
53,72,811i12,6024,5,1802,1802,다시 꼭 뵙기로 했었는데 이렇게 되실 줄이야...,3,,0,6,,,,,줄바꿈
53,72,811i12,6024,6,1802,1802,여러모로 우울하구만.,3,,0,6,,,,,줄바꿈
53,71,812,6025,0,1803$1804,1803,오늘따라 마님 기분이 바닥이시네$ 무서워 죽는 줄 알았어!,2,234,0,1,총장과 쇼핑,,,,줄바꿈
53,71,812,6025,1,1803$1804,1804,우리 아가씨도 그래. 저택에서 어찌나 성질을 내시던지…,2,,0,2,,,,,줄바꿈
53,71,812,6025,2,1803$1804,1803,아니 두분 다 대체 왜 그러신담?,2,,0,3,,,,,줄바꿈
53,71,812,6025,3,1803$1804,1804,왜$ 총장님이 돌아가셨잖아! 예의 그 '쇼핑'을 못하게 되어서 그렇지…,2,,0,4,,,,,줄바꿈
53,71,812,6025,4,1803$1804,1000,쇼핑이라뇨?,2,,0,5,,,,,줄바꿈
53,71,812,6025,5,1803$1804,1803,헉! 수사관님! 아$ 아닙니다. ,2,,0,6,,,,,줄바꿈
53,71,812,6025,6,1803$1804,1804,저희 주인님들께서 거리가 흉흉해 쇼핑을 나다니기 힘드시다고 하여...,2,,0,7,,,,,줄바꿈
53,71,812,6025,7,1803$1804,1000,그렇군요... 알겠습니다. ,2,,0,8,,,,,줄바꿈
53,71,812,6025,8,1803$1804,1000,치안에는 저희가 각별히 안전을 기울이고 있으니 마음 놓으셔도 됩니다. 그럼…,2,,0,9,,,,,줄바꿈
53,71,812,6025,9,1803$1804,1804,...어휴! 간 떨어질 뻔했네.,2,,0,10,,,,,줄바꿈
53,71,812,6025,10,1803$1804,1803,간은 무슨. 방금 아가씨가 아셨으면 목이 떨어질 뻔 했어. 입은 조심히 놀리라구.,2,,0,10,,,,,줄바꿈
53,71$72$73$74,812,6026,0,1803$1804,1804,아으…다리야. 도통 나오시지를 않는구만!,3,,0,1,,,,,줄바꿈
53,71$72$73$74,812,6026,1,1803$1804,1803,우리도 들어가서 기다리고 싶다.,3,,0,2,,,,,줄바꿈
53,71$72$73$74,812,6026,2,1803$1804,1804,그러니까 말이야…,3,,0,2,,,,,줄바꿈
53,71$72$73$74,812,6027,0,1803$1804,1000,안녕하십니까.,3,,0,1,,,,,줄바꿈
53,71$72$73$74,812,6027,1,1803$1804,1803,아$ 수사관님 아니십니까?,3,,0,2,,,,,줄바꿈
53,71$72$73$74,812,6027,2,1803$1804,1000,총장님에 대해 평소 아시던 것 있나요?,3,,0,3,,,,,줄바꿈
53,71$72$73$74,812,6027,3,1803$1804,1803,총장님이라…주인님들하고 친분이 제법 있는 편이라 몇 번 직접 뵌 적이 있습니다. ,3,,0,4,,,,,줄바꿈
